nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
LUIZA ERUNDINA DE SOUSA,F,30/11/1934,78,14,0,37,9,14,0,222485.05000000002,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.0,246.98,,984473.0800000002,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,,,33763.0
MAGDA MOFATTO HON,F,26/10/1948,77,3,12,28,6,36,0,247802.06,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,115.33,69.27,0.0,,1079760.3199999998,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,,,33763.0
FABIANA SILVA DE SOUZA,F,09/01/1980,76,11,5,22,4,0,0,246957.41999999998,19669.14,45316.31,52715.53,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,,1113455.24,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,,,33763.0
CYLMARA FERNANDES DA ROCHA GRIPP,F,04/09/1973,77,14,1,30,6,16,0,429966.83,56886.05,57867.3,54199.26,62724.01,46657.4,33841.62,21007.85,23443.28,30345.94,42994.12,0.0,,1108625.39,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,,,33763.0
LUIZIANNE DE OLIVEIRA LINS,F,18/11/1968,82,7,3,5,6,10,0,391834.12,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,27778.93,0.0,,1116014.4200000002,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,,,33763.0
MARIA DO ROSÁRIO NUNES,F,22/11/1966,77,6,9,48,12,22,0,387871.84,45949.2,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,18496.99,1884.75,,1090821.34,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,,,33763.0
MARGARETE DE CASTRO COELHO,F,12/03/1961,81,7,4,58,5,22,2,360665.17000000004,39855.5,50976.4,52735.6,50764.85,28872.48,40798.7,35963.33,15107.77,13877.11,31713.43,0.0,,1079379.9100000001,110943.91,108857.07,110120.74,99024.19,107482.1,108590.38,108590.38,108590.38,108590.38,108590.38,,,33763.0
MARIA DO PARTO MENDES ROSAS,F,01/10/1965,62,0,0,41,0,3,0,187092.56,,,,18825.99,31183.42,39925.5,29239.92,24673.76,26942.82,16101.15,200.0,,1099115.1600000001,106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.1,111210.42,111538.37,111538.37,,,33763.0
NATÁLIA BASTOS BONAVIDES,F,15/06/1988,86,6,0,16,4,15,0,329375.94999999995,31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,966.23,2706.85,0.0,0.0,,1028961.4600000001,106600.62,90902.3,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,,,33763.0
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,26/11/1986,53,4,4,14,4,6,1,199535.84,20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,,,,2133.82,270.84,,1087643.97,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,,,33763.0
MARINA SANTOS BATISTA DIAS,F,13/09/1980,90,2,0,6,1,12,0,356995.02,23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.0,39929.24,464.2,,1114463.33,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,,,33763.0
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,12/04/1984,64,21,7,3,5,5,0,279180.89,13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.2,10306.43,9508.71,6719.11,317.86,,1069269.96,108653.71,111429.12,111429.12,109087.1,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,,,33763.0
PATRICIA LIMA FERRAZ,F,09/01/1980,10,0,0,0,0,0,0,55295.479999999996,,,,,,,,,7370.23,47113.09,812.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33763.0
