nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
DOMINGOS SÁVIO CAMPOS RESENDE,M,25/03/1957,87,3,2,29,1,6,0,307857.07,24341.19,50435.52,43947.22,32735.37,48074.76,26928.66,27300.43,24815.98,18843.4,9599.0,835.54,,1108990.28,109833.82,109833.82,111183.95,111653.56,110747.01,110990.37,111313.88,110806.11,111313.88,111313.88,,,33763.0
FREDERICO DE CASTRO ESCALEIRA,M,24/03/1977,83,0,9,24,0,56,0,309442.83999999997,31170.62,36914.75,41257.27,38087.59,42514.0,33769.22,28862.16,24728.5,11486.99,20435.08,216.66,,1106826.4,111212.41,111201.53,110944.53,108641.77,111313.96,110772.89,111313.96,110891.9,111313.96,109219.49,,,33763.0
JAZIEL PEREIRA DE SOUSA,M,03/05/1961,69,3,20,12,1,26,0,324091.31999999995,53231.07,44873.85,55545.89,35428.27,35377.77,36517.71,20837.34,20773.89,21505.53,0.0,0.0,,1115897.66,111279.95,111565.34,111653.51,111653.51,111653.51,111477.8,111653.51,111653.51,111653.51,111653.51,,,33763.0
EDILAZIO GOMES DA SILVA JUNIOR,M,04/05/1981,87,5,0,12,1,0,0,269430.92,29645.7,67991.37,21709.65,54054.0,19692.5,28378.82,18023.27,5308.77,14235.23,10391.61,0.0,,1113908.02,111402.54,111185.22,111659.65,111166.3,111659.65,111659.65,111659.65,110963.46,111241.12,111310.78,,,33763.0
LEONARDO RIBEIRO ALBUQUERQUE,M,14/06/1978,91,0,1,27,1,2,0,313609.03,42371.4,34110.23,43935.6,51992.4,41703.89,36956.95,29525.44,11128.25,9478.35,12121.45,285.07,,1047250.0400000002,99981.22,100959.57,99231.78,108961.58,104982.41,110759.92,111287.34,105356.57,102212.41,103517.24,,,33763.0
ZACARIAS CALIL HAMU,M,05/11/1953,82,6,4,85,6,26,0,227416.04,25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5362.04,20331.91,626.9,,806210.4099999997,83672.5,77891.18,81413.26,83956.98,83956.98,83754.79,77891.18,77891.18,77891.18,77891.18,,,33763.0
LUIZ ALBERTO OVANDO,M,25/09/1949,86,5,1,70,0,12,0,340885.82000000007,40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21398.59,3657.89,412.59,,973451.59,96640.72,96640.72,97315.81,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,,,33763.0
ÉDIO VIEIRA LOPES,M,04/01/1952,71,5,16,18,2,5,0,343353.54000000004,42432.81,39836.4,47117.63,54268.93,97784.62,14519.68,22739.81,16760.34,878.14,7015.18,0.0,,1109839.83,110495.02,110495.02,111469.88,111408.97,111368.53,111370.96,111441.31,111441.31,111441.31,108907.52,,,33763.0
EDUARDO LUIZ BARROS BARBOSA,M,25/08/1958,92,0,0,90,0,17,0,244717.26,22913.32,25992.8,30951.65,37263.0,34686.06,29255.32,23832.28,9244.83,5608.98,24588.51,380.51,,1114565.19,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111485.04,,,33763.0
EDUARDO HENRIQUE MAIA BISMARCK,M,14/11/1981,81,11,0,72,7,9,1,384464.1699999999,42771.78,48433.07,53046.89,40615.87,53171.37,35061.57,49986.03,24512.53,5591.91,31221.24,51.91,,1081811.75,108439.6,100116.32,102925.37,105453.61,109885.0,110998.37,110998.37,110998.37,110998.37,110998.37,,,33763.0
EDUARDO NANTES BOLSONARO,M,10/07/1984,76,14,2,27,6,12,1,289240.67,19129.11,45801.56,20862.74,34033.24,20812.35,36151.56,54678.4,29120.22,20452.3,7817.74,381.45,,1098174.63,111598.86,111533.88,111447.23,111308.14,109360.58,109301.13,107577.22,107577.22,108466.86,110003.51,,,33763.0
JOSE EDUARDO PEREIRA DA COSTA,M,16/02/1968,83,9,0,10,6,9,0,327904.70999999996,37602.77,27632.71,45130.56,42628.52,64988.16,22063.45,21894.85,13694.3,16136.05,36133.34,0.0,,1112028.74,111313.96,111313.96,111421.78,111429.22,111429.22,111429.22,111429.22,110376.5,111374.63,110511.03,,,33763.0
EDUARDO PEDROSA CURY,M,19/09/1963,88,3,1,73,1,3,1,326758.44,44245.79,43411.0,38868.35,28628.41,38316.02,37405.99,32488.4,25399.98,15738.89,21411.5,844.11,,989725.85,101582.78,92109.71,91148.77,97477.96,98965.06,103240.48,98460.6,98460.6,98460.6,109819.29,,,33763.0
